Country,Region,Points,Price,Grape
France,Bordeaux,87,25.0,Bordeaux-style Red Blend
France,Bordeaux,87,20.0,Bordeaux-style Red Blend
France,Bordeaux,87,20.0,Bordeaux-style Red Blend
France,Bordeaux,87,25.0,Bordeaux-style Red Blend
US,California,87,10.0,Chardonnay
US,Washington,87,18.0,Malbec
US,New York,87,18.0,Chardonnay
US,New York,87,14.0,Riesling
US,New York,87,14.0,Riesling
US,New York,87,40.0,Cabernet Franc
France,Bordeaux,87,18.0,Bordeaux-style Red Blend
France,Bordeaux,87,20.0,Bordeaux-style Red Blend
US,Washington,87,10.0,Gewürztraminer
US,Washington,87,11.0,Merlot
US,Washington,87,36.0,Cabernet Sauvignon
US,New York,87,20.0,Cabernet Franc
US,Washington,87,32.0,Grenache
Spain,Catalonia,87,18.0,Sparkling Blend
Portugal,Douro,93,55.0,Portuguese Red
Italy,Piedmont,93,49.0,Nebbiolo
US,California,93,50.0,Zinfandel
Italy,Piedmont,93,58.0,Nebbiolo
France,Alsace,93,39.0,Riesling
France,Alsace,93,65.0,Riesling
Morocco,Guerrouane,93,35.0,Syrah-Grenache
Italy,Piedmont,93,80.0,Nebbiolo
France,Alsace,93,42.0,Riesling
France,Alsace,93,61.0,Riesling
US,Washington,93,58.0,G-S-M
US,California,93,38.0,Mourvèdre
France,Alsace,93,48.0,Riesling
US,California,93,50.0,Zinfandel
Italy,Piedmont,93,58.0,Nebbiolo
France,Bordeaux,93,120.0,Bordeaux-style White Blend
US,California,93,50.0,Syrah
US,Washington,93,80.0,Cabernet Sauvignon
US,California,93,40.0,Syrah
Portugal,Douro,93,41.0,Portuguese Red
US,Washington,93,48.0,Cabernet Sauvignon
US,California,93,200.0,Cabernet Sauvignon
US,Washington,93,39.0,Petit Verdot
US,Washington,93,62.0,Cabernet Sauvignon
Italy,Piedmont,93,43.0,Nebbiolo
France,Alsace,92,35.0,Riesling
France,Alsace,92,48.0,Riesling
France,Alsace,92,55.0,Riesling
Portugal,Alentejano,92,40.0,Portuguese Red
Italy,Piedmont,92,69.0,Nebbiolo
France,Bordeaux,88,16.0,Bordeaux-style Red Blend
France,Bordeaux,88,16.0,Bordeaux-style White Blend
France,Bordeaux,88,15.0,Bordeaux-style Red Blend
France,Bordeaux,88,13.0,Bordeaux-style White Blend
US,California,88,28.0,Chardonnay
US,Oregon,88,36.0,Pinot Noir
Romania,Colinele Dobrogei,88,9.0,Rosé
US,California,88,24.0,Chardonnay
US,California,88,30.0,Rhône-style White Blend
US,California,88,25.0,Merlot
Italy,Piedmont,88,34.0,Nebbiolo
US,Oregon,88,60.0,Pinot Noir
US,California,88,54.0,Pinot Noir
US,Oregon,88,15.0,Muscat
Italy,Piedmont,88,56.0,Nebbiolo
US,California,88,20.0,Sauvignon Blanc
US,California,88,61.0,Pinot Noir
Italy,Piedmont,88,46.0,Nebbiolo
Spain,Northern Spain,88,30.0,Tempranillo
Spain,Central Spain,88,17.0,Tempranillo Blend
US,California,88,40.0,Cabernet Sauvignon-Merlot
US,California,88,39.0,Red Blend
Italy,Piedmont,88,49.0,Nebbiolo
France,Loire Valley,88,23.0,Sauvignon Blanc
US,California,88,16.0,Pinot Grigio
US,California,88,32.0,Mourvèdre
US,California,88,18.0,Chardonnay
Argentina,Mendoza Province,88,15.0,Cabernet Sauvignon
France,Burgundy,92,92.0,Pinot Noir
France,Burgundy,92,94.0,Chardonnay
US,California,92,58.0,Chardonnay
US,California,92,50.0,Rhône-style Red Blend
US,California,92,48.0,Sparkling Blend
US,California,92,32.0,Pinot Noir
Italy,Northeastern Italy,92,27.0,Pinot Bianco
Portugal,Vinho Verde,92,35.0,Alvarinho
Portugal,Douro,92,95.0,Portuguese White
US,California,92,43.0,Pinot Noir
Italy,Veneto,92,33.0,Garganega
Italy,Northeastern Italy,92,60.0,Sauvignon
France,Bordeaux,92,30.0,Bordeaux-style Red Blend
US,California,92,100.0,Cabernet Sauvignon
US,California,92,35.0,Syrah
France,Burgundy,91,60.0,Chardonnay
France,Southwest France,91,16.0,Bordeaux-style Red Blend
France,Burgundy,91,40.0,Chardonnay
US,Oregon,91,60.0,Pinot Noir
France,Burgundy,91,100.0,Pinot Noir
Portugal,Alentejano,91,18.0,Touriga Nacional
US,Oregon,91,16.0,Pinot Gris
US,California,91,42.0,Syrah
US,California,91,20.0,Pinot Noir
Italy,Northeastern Italy,91,25.0,Sauvignon
Italy,Northeastern Italy,91,23.0,Pinot Grigio
US,California,91,38.0,Pinot Noir
US,California,91,32.0,Zinfandel
US,Washington,94,60.0,Syrah
US,California,94,30.0,Riesling
Italy,Veneto,94,85.0,Red Blend
US,California,94,30.0,Riesling
US,California,94,65.0,Pinot Noir
New Zealand,Kumeu,94,57.0,Chardonnay
US,Oregon,94,90.0,Pinot Noir
US,California,94,85.0,Pinot Noir
US,California,94,70.0,Pinot Noir
US,Oregon,94,70.0,Pinot Noir
US,California,94,60.0,Pinot Noir
Italy,Veneto,94,38.0,Garganega
Italy,Veneto,94,29.0,Garganega
US,California,94,155.0,Cabernet Sauvignon
US,Oregon,94,48.0,Pinot Noir
US,California,94,95.0,Cabernet Sauvignon
US,California,94,80.0,Sparkling Blend
US,Oregon,94,49.0,Pinot Noir
France,Southwest France,94,35.0,Tannat-Cabernet
US,Washington,94,50.0,Syrah
France,Provence,94,44.0,Provence red blend
Spain,Northern Spain,94,68.0,Tempranillo Blend
France,Provence,94,20.0,Rosé
US,California,94,95.0,Cabernet Sauvignon
France,Provence,94,44.0,Provence red blend
Argentina,Mendoza Province,94,50.0,Cabernet Sauvignon
France,Provence,94,100.0,Rosé
France,Southwest France,94,70.0,Malbec
US,Oregon,94,63.0,Chardonnay
Italy,Piedmont,91,75.0,Nebbiolo
Germany,Mosel,91,23.0,Riesling
US,California,91,50.0,Cabernet Sauvignon
Spain,Galicia,91,22.0,Albariño
US,California,91,45.0,Sauvignon Blanc
Portugal,Alentejano,91,130.0,Alicante Bouschet
US,California,91,38.0,Rhône-style White Blend
US,Oregon,91,30.0,Pinot Noir
US,California,91,22.0,Syrah
Italy,Piedmont,91,90.0,Nebbiolo
US,California,91,60.0,Cabernet Sauvignon
Italy,Piedmont,91,115.0,Nebbiolo
US,California,91,55.0,Pinot Noir
Portugal,Alentejano,91,30.0,Rhône-style Red Blend
Portugal,Alentejano,91,14.0,Aragonês
US,California,91,48.0,Chardonnay
US,California,91,40.0,Chardonnay
Germany,Rheinhessen,91,39.0,Silvaner
Italy,Piedmont,91,60.0,Nebbiolo
US,California,91,50.0,Chardonnay
US,Oregon,91,48.0,Pinot Noir
France,Champagne,91,54.0,Chardonnay
Portugal,Alentejo,91,42.0,Portuguese Red
US,Oregon,91,50.0,Sparkling Blend
Israel,Golan Heights,91,40.0,Cabernet Sauvignon
US,California,91,40.0,Chardonnay
US,Oregon,91,42.0,Pinot Noir
Italy,Piedmont,91,85.0,Nebbiolo
Spain,Northern Spain,91,32.0,Tempranillo
US,California,90,41.0,Red Blend
US,California,90,27.0,Ugni Blanc
US,Oregon,90,29.0,Grüner Veltliner
France,Alsace,90,33.0,Pinot Noir
France,Burgundy,90,70.0,Pinot Noir
US,Oregon,90,19.0,Pinot Noir
Italy,Sicily & Sardinia,90,22.0,Frappato
Germany,Württemberg,90,25.0,Lemberger
France,Alsace,90,27.0,Sylvaner
France,Alsace,90,22.0,Chasselas
France,Alsace,90,30.0,Alsace white blend
US,Oregon,90,15.0,Pinot Gris
US,Oregon,90,45.0,Pinot Noir
France,Burgundy,90,80.0,Pinot Noir
US,Oregon,90,18.0,Albariño
Italy,Southern Italy,90,19.0,Greco
Germany,Mosel,90,31.0,Riesling
US,California,90,15.0,Cabernet Sauvignon
US,California,90,15.0,Cabernet Sauvignon
US,California,90,24.0,Merlot
US,California,90,80.0,Red Blend
Spain,Northern Spain,90,35.0,Tempranillo
Germany,Ahr,90,40.0,Früburgunder
Spain,Central Spain,90,28.0,Tempranillo
US,California,90,50.0,Cabernet Sauvignon
US,California,90,28.0,Cabernet Sauvignon
US,California,90,36.0,Rhône-style Red Blend
US,California,90,40.0,Cabernet Sauvignon
US,California,90,50.0,Chardonnay
US,California,90,75.0,Cabernet Sauvignon
Italy,Tuscany,90,60.0,Sangiovese
US,Washington,90,46.0,Malbec
Canada,British Columbia,90,70.0,Bordeaux-style Red Blend
Spain,Galicia,90,26.0,Albariño
Italy,Tuscany,90,60.0,Sangiovese
Italy,Tuscany,90,75.0,Sangiovese
Moldova,Moldova,90,32.0,White Blend
Italy,Tuscany,90,95.0,Sangiovese
Italy,Tuscany,90,60.0,Sangiovese
Italy,Tuscany,90,70.0,Sangiovese
US,California,90,20.0,White Blend
France,Rhône Valley,90,27.0,Rhône-style Red Blend
France,Rhône Valley,90,20.0,Rhône-style Red Blend
US,California,90,75.0,Cabernet Sauvignon
US,California,90,28.0,Sauvignon Blanc
US,California,90,60.0,Chardonnay
US,California,90,22.0,Chardonnay
Spain,Spain Other,90,49.0,White Blend
Hungary,Sopron,90,35.0,Kekfrankos
Italy,Tuscany,90,90.0,Sangiovese
US,California,90,30.0,Chardonnay
US,California,90,35.0,Cabernet Sauvignon
US,California,90,38.0,Rhône-style Red Blend
US,California,90,22.0,Tempranillo
Italy,Tuscany,90,30.0,Sangiovese
Italy,Tuscany,90,32.0,Red Blend
Italy,Tuscany,90,35.0,Sangiovese
US,Washington,87,36.0,Cabernet Sauvignon
US,California,87,30.0,Zinfandel
US,New York,87,20.0,Cabernet Franc
US,Washington,87,32.0,Grenache
Spain,Catalonia,87,18.0,Sparkling Blend
Spain,Northern Spain,87,27.0,Tempranillo
US,Washington,87,20.0,Sauvignon Blanc
US,California,87,30.0,Chardonnay
US,California,87,20.0,Cabernet Sauvignon
US,Idaho,87,23.0,Cabernet Sauvignon
US,Washington,87,22.0,Rhône-style White Blend
Italy,Tuscany,87,75.0,Sangiovese
Italy,Tuscany,87,98.0,Sangiovese
US,California,87,20.0,Cabernet Sauvignon
US,Idaho,87,22.0,Chardonnay
US,Idaho,87,16.0,White Blend
Italy,Tuscany,87,28.0,Vermentino
Spain,Andalucia,87,25.0,Sherry
Italy,Tuscany,87,17.0,Red Blend
US,Idaho,87,17.0,Riesling
Spain,Northern Spain,87,15.0,Tempranillo
Spain,Andalucia,87,16.0,Sherry
Spain,Northern Spain,87,15.0,Tempranillo Blend
US,Idaho,87,38.0,Tempranillo
Spain,Catalonia,87,28.0,Red Blend
Italy,Tuscany,87,52.0,Sangiovese
Italy,Tuscany,87,58.0,Sangiovese
Italy,Tuscany,87,60.0,Sangiovese
Portugal,Douro,86,15.0,Rosé
Italy,Veneto,86,15.0,White Blend
US,California,86,26.0,Chardonnay
US,California,86,32.0,Syrah
Portugal,Tejo,86,10.0,Portuguese Red
Argentina,Other,86,10.0,Sauvignon Blanc
US,California,86,18.0,Moscato
Portugal,Douro,86,12.0,Portuguese White
US,Washington,86,35.0,Rosé
US,California,86,34.0,Aglianico
Argentina,Mendoza Province,86,23.0,Malbec
South Africa,Walker Bay,86,20.0,Sauvignon Blanc
US,California,86,31.0,Cabernet Sauvignon
US,California,86,24.0,Viognier
US,Washington,86,12.0,Merlot
US,California,86,18.0,Pinot Noir
France,Southwest France,86,10.0,White Blend
Argentina,Mendoza Province,86,15.0,Malbec
US,California,86,24.0,Chardonnay
Argentina,Mendoza Province,86,14.0,Torrontés
US,California,86,14.0,Sauvignon Blanc
Portugal,Alentejano,86,15.0,Portuguese Red
US,California,86,38.0,Primitivo
Portugal,Dão,86,13.0,Touriga Nacional
US,California,86,12.0,Pinot Noir
US,California,86,32.0,Red Blend
France,Southwest France,86,15.0,Semillon-Sauvignon Blanc
US,California,86,28.0,Barbera
Portugal,Douro,86,30.0,Portuguese Rosé
US,California,89,49.0,Pinot Noir
Greece,Nemea,89,17.0,Agiorgitiko
France,Rhône Valley,89,11.0,Grenache-Syrah
Italy,Tuscany,89,43.0,Sangiovese
France,Southwest France,89,19.0,Red Blend
France,Southwest France,89,28.0,White Blend
Germany,Mosel,89,26.0,Riesling
US,Oregon,89,35.0,Chardonnay
US,California,89,30.0,Bordeaux-style Red Blend
Italy,Tuscany,89,55.0,Cabernet Sauvignon
US,Oregon,89,46.0,Pinot Noir
US,Oregon,89,50.0,Pinot Noir
US,California,89,43.0,Red Blend
Portugal,Duriense,89,45.0,Syrah
US,California,89,39.0,Syrah
Italy,Tuscany,89,30.0,Red Blend
Italy,Tuscany,89,45.0,Cabernet Sauvignon
Spain,Catalonia,89,23.0,Red Blend
France,Rhône Valley,89,15.0,Grenache-Syrah
US,California,89,65.0,Zinfandel
Chile,Colchagua Valley,89,19.0,Red Blend
US,Oregon,89,35.0,Syrah
US,California,89,60.0,Zinfandel
US,Oregon,89,44.0,Pinot Noir
Spain,Galicia,89,25.0,Albariño
Italy,Tuscany,89,30.0,Red Blend
Spain,Northern Spain,89,12.0,Tempranillo
Spain,Catalonia,89,18.0,Sparkling Blend
US,California,92,30.0,Chardonnay
Portugal,Douro,92,23.0,Portuguese Red
US,California,92,45.0,Zinfandel
US,California,92,125.0,Bordeaux-style Red Blend
US,California,92,98.0,Cabernet Sauvignon
US,California,92,40.0,Red Blend
Canada,Ontario,92,17.0,Riesling
US,California,92,60.0,Chardonnay
Portugal,Douro,92,70.0,Portuguese Red
US,California,92,68.0,Chardonnay
Portugal,Beiras,92,40.0,Baga
US,Washington,92,32.0,Chardonnay
US,California,92,45.0,Syrah
US,Washington,92,66.0,Chardonnay
France,Alsace,92,29.0,Riesling
France,Alsace,92,63.0,Riesling
US,California,92,32.0,Chardonnay
US,California,92,55.0,Chardonnay
Hungary,Tokaji,92,16.0,Furmint
Italy,Piedmont,92,45.0,Nebbiolo
US,California,92,20.0,Viognier
Italy,Piedmont,92,50.0,Nebbiolo
France,Bordeaux,92,18.0,Bordeaux-style Red Blend
Portugal,Lisboa,92,23.0,Portuguese Red
US,California,92,32.0,Chardonnay
Chile,Colchagua Valley,92,30.0,Bordeaux-style Red Blend
US,Washington,92,35.0,Viognier
US,California,92,44.0,Chardonnay
US,California,90,24.0,Cabernet Franc
US,California,90,20.0,Zinfandel
Germany,Mosel,90,22.0,Riesling
France,Burgundy,90,50.0,Pinot Noir
France,Burgundy,90,45.0,Pinot Noir
US,California,90,23.0,Pinot Noir
US,California,90,49.0,Pinot Noir
Germany,Mosel,90,17.0,Riesling
US,California,90,35.0,Carignane
France,Burgundy,90,59.0,Chardonnay
France,Alsace,90,24.0,Sylvaner
France,Alsace,90,20.0,White Blend
France,Alsace,90,20.0,Pinot Blanc
US,Oregon,90,18.0,Pinot Gris
US,California,90,42.0,Zinfandel
Italy,Sicily & Sardinia,90,22.0,Moscato
Greece,Santorini,90,20.0,Assyrtiko
US,Oregon,90,48.0,Pinot Noir
US,California,90,30.0,Chardonnay
US,California,90,40.0,Cabernet Sauvignon
Spain,Northern Spain,90,20.0,Tempranillo
Spain,Northern Spain,90,17.0,Tempranillo Blend
US,California,90,22.0,Merlot
Germany,Mosel,90,31.0,Riesling
US,California,90,15.0,Cabernet Sauvignon
US,California,90,15.0,Cabernet Sauvignon
US,California,94,62.0,Pinot Noir
US,Oregon,94,49.0,Pinot Noir
France,Southwest France,94,25.0,Red Blend
US,California,94,95.0,Cabernet Sauvignon
US,California,94,55.0,Chardonnay
US,California,94,48.0,Chardonnay
Italy,Northeastern Italy,94,35.0,Friulano
France,Southwest France,94,40.0,Tannat-Cabernet
US,California,94,68.0,Pinot Noir
US,Oregon,94,90.0,Pinot Noir
France,Southwest France,93,25.0,Malbec-Merlot
US,California,93,60.0,Pinot Noir
Austria,Thermenregion,93,21.0,St. Laurent
US,Washington,93,125.0,Bordeaux-style Red Blend
US,California,93,85.0,Cabernet Sauvignon
US,California,93,60.0,Pinot Noir
Spain,Northern Spain,93,64.0,Tempranillo
Austria,Burgenland,93,19.0,Blauburgunder
Austria,Carnuntum,93,25.0,Blaufränkisch
US,California,93,55.0,Syrah
US,California,93,58.0,Chardonnay
US,Oregon,93,48.0,Pinot Noir
US,California,93,40.0,Zinfandel
US,California,93,60.0,Chardonnay
US,California,93,120.0,Cabernet Sauvignon
US,California,93,100.0,Cabernet Sauvignon
US,California,93,34.0,Zinfandel
Spain,Northern Spain,93,91.0,Red Blend
France,Provence,93,36.0,Provence red blend
US,California,91,40.0,Zinfandel
US,Oregon,91,20.0,Chardonnay
US,California,91,55.0,Cabernet Sauvignon
Portugal,Douro,91,19.0,Portuguese White
Italy,Northeastern Italy,91,26.0,Pinot Grigio
US,California,91,45.0,Pinot Noir
Germany,Rheingau,91,36.0,Riesling
Germany,Mosel,91,23.0,Riesling
Germany,Rheingau,91,25.0,Riesling
Germany,Nahe,91,21.0,Scheurebe
Germany,Mosel,91,28.0,Riesling
Italy,Northeastern Italy,91,41.0,White Blend
US,Oregon,91,26.0,Pinot Gris
US,California,91,28.0,Chardonnay
US,California,91,38.0,Chardonnay
US,California,91,44.0,Red Blend
US,California,91,45.0,Pinot Noir
Germany,Mosel,91,25.0,Riesling
Germany,Mosel,91,38.0,Riesling
Germany,Mosel,91,22.0,Riesling
Germany,Mosel,91,26.0,Riesling
Germany,Mosel,91,23.0,Riesling
Germany,Mosel,91,23.0,Riesling
US,California,91,50.0,Sauvignon Blanc
Italy,Northeastern Italy,91,21.0,Sauvignon
France,Bordeaux,91,25.0,Bordeaux-style Red Blend
Portugal,Dão,91,16.0,Portuguese Red
France,Burgundy,91,60.0,Chardonnay
US,California,90,38.0,Cabernet Sauvignon
Australia,South Australia,90,20.0,Pinot Noir
Italy,Piedmont,90,75.0,Nebbiolo
Portugal,Douro,90,33.0,Portuguese Red
Italy,Piedmont,90,75.0,Nebbiolo
US,California,90,64.0,Bordeaux-style Red Blend
US,California,90,18.0,Gewürztraminer
Italy,Piedmont,90,75.0,Nebbiolo
Italy,Piedmont,90,30.0,Nebbiolo
Italy,Piedmont,90,42.0,Nebbiolo
Italy,Piedmont,90,18.0,Barbera
Spain,Galicia,90,20.0,Albariño
US,California,90,40.0,Pinot Noir
France,Southwest France,90,25.0,Malbec
Portugal,Douro,90,19.0,Portuguese White
US,Oregon,90,18.0,Gewürztraminer
US,California,90,30.0,Rhône-style White Blend
France,Southwest France,90,13.0,Red Blend
France,Burgundy,90,45.0,Chardonnay
Germany,Mosel,90,30.0,Riesling
US,California,90,111.0,Cabernet Sauvignon
Italy,Piedmont,90,35.0,Barbera
US,Oregon,90,32.0,Tempranillo
Italy,Piedmont,90,88.0,Nebbiolo
US,Oregon,90,57.0,Pinot Noir
US,California,90,34.0,Grenache
US,Oregon,90,24.0,Chardonnay
Italy,Piedmont,90,45.0,Nebbiolo
Italy,Piedmont,90,74.0,Nebbiolo
Australia,Victoria,88,42.0,Pinot Noir
France,Loire Valley,88,27.0,Sauvignon Blanc
Argentina,Mendoza Province,88,25.0,Malbec
France,Loire Valley,88,35.0,Sauvignon Blanc
US,California,88,45.0,Meritage
US,California,88,30.0,Grenache
France,Bordeaux,88,26.0,Bordeaux-style Red Blend
US,California,88,39.0,Chardonnay
France,Loire Valley,88,25.0,Sauvignon Blanc
Italy,Piedmont,88,80.0,Nebbiolo
US,California,88,55.0,Pinot Noir
US,California,88,22.0,Gewürztraminer
France,Loire Valley,88,28.0,Sauvignon Blanc
US,California,88,25.0,Pinot Noir
US,Oregon,88,48.0,Pinot Noir
US,California,88,19.0,Viognier
Croatia,North Dalmatia,88,19.0,White Blend
Italy,Piedmont,88,77.0,Nebbiolo
US,California,88,18.0,Chardonnay
France,Bordeaux,88,25.0,Bordeaux-style White Blend
France,Bordeaux,88,18.0,Bordeaux-style White Blend
US,California,88,18.0,Merlot
US,Oregon,88,65.0,Pinot Noir
US,California,88,25.0,Chardonnay
US,California,88,48.0,Pinot Noir
France,Loire Valley,88,20.0,Pinot Noir
